vidId,frameNum,detectedObjId,detectedObjClass,confidence,x1,y1,x2,y2
Cyclist and vehicle tracking - 2.mp4,55,2,bicycle,0.48399997,659.0061,376.24973,691.6367,400.3765
Cyclist and vehicle tracking - 2.mp4,56,2,bicycle,0.5542759,660.54297,375.54266,693.91956,402.08368
Cyclist and vehicle tracking - 2.mp4,56,2,bicycle,0.33590248,659.24646,375.93616,703.55237,407.59003
Cyclist and vehicle tracking - 2.mp4,57,2,bicycle,0.3969545,661.81024,376.09192,698.45026,401.42627
Cyclist and vehicle tracking - 2.mp4,58,2,bicycle,0.40990087,663.0375,377.52014,697.79407,401.5669
Cyclist and vehicle tracking - 2.mp4,59,2,bicycle,0.5191109,663.6354,378.95676,700.7294,403.36862
Cyclist and vehicle tracking - 2.mp4,60,2,bicycle,0.5174006,663.5565,378.19244,700.6151,402.34125
Cyclist and vehicle tracking - 2.mp4,61,2,bicycle,0.3733964,662.50964,377.06326,698.85266,402.197
Cyclist and vehicle tracking - 2.mp4,61,2,bicycle,0.30400375,662.3419,378.32373,705.56934,405.97156
Cyclist and vehicle tracking - 2.mp4,62,2,bicycle,0.34999475,661.8871,377.19244,698.3292,402.14172
Cyclist and vehicle tracking - 2.mp4,63,2,bicycle,0.28638497,660.8739,380.67694,688.9049,403.88055
Cyclist and vehicle tracking - 2.mp4,64,2,bicycle,0.44119802,660.283,381.05203,689.7828,403.72635
Cyclist and vehicle tracking - 2.mp4,65,2,bicycle,0.48444483,660.4369,381.78888,689.92615,404.30865
Cyclist and vehicle tracking - 2.mp4,66,2,bicycle,0.50761163,660.3384,383.24554,692.9065,406.11444
Cyclist and vehicle tracking - 2.mp4,67,2,bicycle,0.34304056,660.9828,382.6782,692.8522,405.9717
Cyclist and vehicle tracking - 2.mp4,68,2,bicycle,0.38057008,661.9075,383.19858,694.3142,407.78317
Cyclist and vehicle tracking - 2.mp4,69,2,bicycle,0.5327276,661.8394,384.05746,697.4305,410.03073
Cyclist and vehicle tracking - 2.mp4,70,2,bicycle,0.48262435,662.91565,384.10703,700.931,412.39035
Cyclist and vehicle tracking - 2.mp4,71,2,bicycle,0.36046627,662.78955,385.9223,701.209,413.5418
Cyclist and vehicle tracking - 2.mp4,72,2,bicycle,0.3788796,664.53076,385.0885,696.4883,412.19226
Cyclist and vehicle tracking - 2.mp4,73,2,bicycle,0.4167067,664.99023,385.6212,694.10205,411.64554
Cyclist and vehicle tracking - 2.mp4,74,2,bicycle,0.49336568,665.4319,387.25583,698.6006,414.2059
Cyclist and vehicle tracking - 2.mp4,75,2,bicycle,0.561587,667.21454,388.3727,700.116,416.11722
Cyclist and vehicle tracking - 2.mp4,76,2,bicycle,0.52266115,667.15857,388.8261,700.49524,417.44257
Cyclist and vehicle tracking - 2.mp4,77,2,bicycle,0.31652254,668.7073,386.69305,696.5779,413.91193
Cyclist and vehicle tracking - 2.mp4,78,2,bicycle,0.3413421,667.16595,387.9566,700.3968,413.23578
Cyclist and vehicle tracking - 2.mp4,79,2,bicycle,0.3129285,669.08923,387.438,698.9586,412.26782
Cyclist and vehicle tracking - 2.mp4,80,2,bicycle,0.31716764,670.82166,387.11707,696.1383,411.9425
Cyclist and vehicle tracking - 2.mp4,81,2,bicycle,0.4308226,670.39124,389.90222,702.2855,416.14093
Cyclist and vehicle tracking - 2.mp4,82,2,bicycle,0.507979,671.12854,390.4188,703.8795,416.759
Cyclist and vehicle tracking - 2.mp4,83,2,bicycle,0.38425642,671.6775,391.04413,708.1564,419.58197
Cyclist and vehicle tracking - 2.mp4,84,2,bicycle,0.60202295,673.03186,390.78363,702.11194,413.51154
Cyclist and vehicle tracking - 2.mp4,85,2,bicycle,0.60068095,673.45404,391.1568,702.77594,413.83783
Cyclist and vehicle tracking - 2.mp4,86,2,bicycle,0.5788951,673.89075,391.02243,702.5907,415.83054
Cyclist and vehicle tracking - 2.mp4,87,2,bicycle,0.5220899,674.0005,390.67438,703.34766,415.36517
Cyclist and vehicle tracking - 2.mp4,88,2,bicycle,0.5783194,675.21533,391.14694,706.9888,417.64334
Cyclist and vehicle tracking - 2.mp4,89,2,bicycle,0.5721287,676.01733,391.88098,709.28296,417.79724
Cyclist and vehicle tracking - 2.mp4,90,2,bicycle,0.5892211,676.0941,392.32043,706.8229,418.5149
Cyclist and vehicle tracking - 2.mp4,91,2,bicycle,0.54788834,676.6233,392.26303,706.06494,415.9904
Cyclist and vehicle tracking - 2.mp4,92,2,bicycle,0.41890723,676.89526,392.76343,708.46277,416.66162
Cyclist and vehicle tracking - 2.mp4,93,2,bicycle,0.49544728,677.5774,393.7079,706.90576,418.27307
Cyclist and vehicle tracking - 2.mp4,94,2,bicycle,0.4958697,677.7335,394.46988,709.98425,417.67715
Cyclist and vehicle tracking - 2.mp4,95,2,bicycle,0.4078308,678.65076,395.06757,713.65137,421.15057
Cyclist and vehicle tracking - 2.mp4,96,2,bicycle,0.44282553,679.74146,394.93378,708.7029,419.41772
Cyclist and vehicle tracking - 2.mp4,97,2,bicycle,0.36887738,681.4103,395.02878,707.4403,420.76248
Cyclist and vehicle tracking - 2.mp4,98,2,bicycle,0.25794035,685.51733,395.00348,711.5574,419.7155
Cyclist and vehicle tracking - 2.mp4,99,2,bicycle,0.32289264,685.6666,395.06738,711.83044,420.16602
Cyclist and vehicle tracking - 2.mp4,100,2,bicycle,0.39593476,686.5884,396.04803,712.954,420.88995
Cyclist and vehicle tracking - 2.mp4,101,2,bicycle,0.34101135,687.22626,396.4965,713.3786,420.49857
Cyclist and vehicle tracking - 2.mp4,102,2,bicycle,0.25810495,686.552,396.6985,715.8362,421.42657
Cyclist and vehicle tracking - 2.mp4,103,2,bicycle,0.27917916,687.59485,396.17755,714.66125,420.94672
Cyclist and vehicle tracking - 2.mp4,104,2,bicycle,0.32569772,687.78986,396.83954,715.4776,420.37262
Cyclist and vehicle tracking - 2.mp4,105,2,bicycle,0.26622814,688.01355,396.59363,715.2484,421.03864
Cyclist and vehicle tracking - 2.mp4,106,2,bicycle,0.4376132,688.0683,396.37146,716.3586,421.47498
Cyclist and vehicle tracking - 2.mp4,107,2,bicycle,0.5228003,688.24414,396.09094,717.334,421.66602
Cyclist and vehicle tracking - 2.mp4,108,2,bicycle,0.48306826,688.907,395.8164,717.0349,420.33527
Cyclist and vehicle tracking - 2.mp4,109,2,bicycle,0.47953746,689.2512,395.9558,717.5547,419.93262
Cyclist and vehicle tracking - 2.mp4,110,2,bicycle,0.44019195,689.90247,395.04993,716.9957,419.93542
Cyclist and vehicle tracking - 2.mp4,111,2,bicycle,0.30081016,690.09973,394.59003,716.21106,419.9085
Cyclist and vehicle tracking - 2.mp4,112,2,bicycle,0.4354743,690.02,395.5218,720.4573,421.10785
Cyclist and vehicle tracking - 2.mp4,113,2,bicycle,0.4822305,691.79596,395.5952,719.75543,420.51392
Cyclist and vehicle tracking - 2.mp4,114,2,bicycle,0.46346086,692.7646,396.84787,719.326,420.25424
Cyclist and vehicle tracking - 2.mp4,115,2,bicycle,0.4281451,693.92834,396.38327,720.9967,420.95938
Cyclist and vehicle tracking - 2.mp4,116,2,bicycle,0.33580416,694.7008,396.4513,725.40393,422.2898
Cyclist and vehicle tracking - 2.mp4,117,2,bicycle,0.29807997,696.64685,397.15906,724.2533,423.50574
Cyclist and vehicle tracking - 2.mp4,118,2,bicycle,0.33954784,696.9922,396.5763,728.655,424.6671
Cyclist and vehicle tracking - 2.mp4,119,2,bicycle,0.38554955,697.91235,397.0365,728.19946,426.24292
Cyclist and vehicle tracking - 2.mp4,120,2,bicycle,0.3171234,705.4217,396.52423,737.31256,424.7707
Cyclist and vehicle tracking - 2.mp4,121,2,bicycle,0.41316956,708.2557,395.80627,740.98627,426.2301
Cyclist and vehicle tracking - 2.mp4,122,2,bicycle,0.42489803,709.5367,395.86533,741.7674,426.97928
Cyclist and vehicle tracking - 2.mp4,123,2,bicycle,0.41155538,710.4503,396.5691,742.0387,427.48877
Cyclist and vehicle tracking - 2.mp4,124,2,bicycle,0.40396884,711.2504,396.7605,743.72797,426.9209
Cyclist and vehicle tracking - 2.mp4,125,2,bicycle,0.46093127,712.577,397.12503,743.46643,425.61966
Cyclist and vehicle tracking - 2.mp4,126,2,bicycle,0.48855957,713.9241,397.46783,742.5569,425.18292
Cyclist and vehicle tracking - 2.mp4,127,2,bicycle,0.3052439,715.28796,396.68713,742.96716,425.53583
Cyclist and vehicle tracking - 2.mp4,128,2,bicycle,0.29128948,716.246,396.09793,748.1499,426.85892
Cyclist and vehicle tracking - 2.mp4,129,2,bicycle,0.35638782,717.51196,397.35175,747.9153,424.50702
Cyclist and vehicle tracking - 2.mp4,130,2,bicycle,0.34353915,719.55695,397.17206,747.79877,424.09723
Cyclist and vehicle tracking - 2.mp4,131,2,bicycle,0.3345542,720.2766,396.466,751.14014,423.82898
Cyclist and vehicle tracking - 2.mp4,132,2,bicycle,0.33439285,721.37146,396.31915,750.8788,422.3853
Cyclist and vehicle tracking - 2.mp4,133,2,bicycle,0.5014112,721.8696,397.28088,754.1907,423.33606
Cyclist and vehicle tracking - 2.mp4,134,2,bicycle,0.48015448,723.3481,397.63568,751.52325,421.70844
Cyclist and vehicle tracking - 2.mp4,135,2,bicycle,0.5195201,724.3707,397.80804,750.9236,423.21246
Cyclist and vehicle tracking - 2.mp4,136,2,bicycle,0.5174752,724.8425,397.61346,751.334,421.21863
Cyclist and vehicle tracking - 2.mp4,137,2,bicycle,0.4750298,725.20056,397.93488,752.5021,424.0916
